date,state_fang,state_macd,state_fg,state_vix,state_ma,state_eod,state_lead,state_btc,score_d,score_w,score_m,trend_d,trend_w,trend_m,overall_d,overall_w,overall_m,tone,verdict_ko,n_watch_avail,fg_avail,eod_avail,n_leaders,spy_close,vix_close
2022-02-18,AMBER,RED,AMBER,AMBER,R2G,RED,RED,RED,-0.360000,-0.822222,-0.655556,-1,0,-1,G2R,RED,RED,reduce,시장 전체가 내리막,25,True,False,1,408.575287,27.750000
2022-02-22,RED,RED,AMBER,RED,R2G,RED,RED,RED,-0.626667,-0.733333,-0.833333,-1,1,-1,RED,R2G,RED,reduce,나쁜 쪽에 가까움,25,True,False,1,404.190674,28.809999
2022-02-23,RED,RED,RED,RED,R2G,RED,RED,RED,-0.760000,-1.000000,-0.833333,-1,-1,-1,RED,RED,RED,reduce,시장 전체가 내리막,25,True,False,1,397.020782,31.020000
2022-02-24,RED,RED,R2G,RED,R2G,RED,RED,RED,-0.560000,-0.733333,-0.833333,-1,-1,-1,RED,RED,RED,reduce,시장 전체가 내리막,25,True,False,0,402.995697,30.320000
2022-02-25,RED,RED,AMBER,AMBER,R2G,RED,RED,RED,-0.520000,-0.488889,-0.655556,1,1,-1,R2G,R2G,RED,buy,바닥을 다지는 중,25,True,False,2,411.887360,27.590000
2022-02-28,AMBER,R2G,RED,RED,R2G,RED,AMBER,RED,-0.193333,-0.233333,-0.833333,1,1,0,R2G,R2G,RED,buy,바닥을 다지는 중,25,True,False,3,410.833496,30.150000
2022-03-01,R2G,RED,RED,RED,R2G,RED,AMBER,R2G,-0.213333,-0.666667,-1.000000,1,0,-1,R2G,RED,RED,caution,바닥 신호가 살짝 보임,25,True,False,3,404.576416,33.320000
2022-03-02,R2G,GREEN,RED,RED,R2G,RED,AMBER,RED,-0.013333,-0.500000,-1.000000,1,1,-1,R2G,R2G,RED,buy,바닥을 다지는 중,25,True,False,4,412.019135,30.740000
2022-03-03,AMBER,GREEN,R2G,RED,R2G,RED,AMBER,RED,0.106667,-0.500000,-1.000000,1,1,-1,R2G,R2G,RED,buy,바닥을 다지는 중,25,True,False,4,409.967834,30.480000
2022-03-04,AMBER,GREEN,RED,RED,R2G,RED,RED,RED,-0.200000,-1.000000,-1.000000,0,-1,-1,AMBER,RED,RED,reduce,나쁜 쪽에 가까움,25,True,False,1,406.636993,31.980000
2022-03-07,RED,RED,RED,RED,R2G,RED,RED,RED,-0.760000,-1.000000,-1.000000,-1,-1,-1,RED,RED,RED,reduce,시장 전체가 내리막,25,True,False,1,394.649628,36.450001
2022-03-08,RED,RED,RED,RED,R2G,RED,AMBER,RED,-0.653333,-1.000000,-1.000000,-1,-1,-1,RED,RED,RED,reduce,시장 전체가 내리막,25,True,False,4,391.657593,35.130001
